innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,38.0,234.0,Australia,102.0,3.0,102.0,0.5006283,0.30191833,0.19745338
1.0,1.0,38.0,235.0,Australia,102.0,3.0,102.0,0.49905342,0.30096856,0.19997801
1.0,1.0,38.0,236.0,Australia,102.0,3.0,102.0,0.49905342,0.30096856,0.19997801
1.0,1.0,39.0,237.0,Australia,102.0,3.0,102.0,0.46092808,0.3433904,0.19568151
1.0,1.0,39.0,238.0,Australia,102.0,3.0,102.0,0.45710823,0.34582368,0.19706813
1.0,1.0,39.0,239.0,Australia,103.0,3.0,103.0,0.4960774,0.30275658,0.20116608
1.0,1.0,39.0,240.0,Australia,103.0,3.0,103.0,0.49223217,0.30506673,0.20270106
1.0,1.0,39.0,241.0,Australia,103.0,3.0,103.0,0.48937437,0.30329558,0.20733005
1.0,1.0,39.0,242.0,Australia,103.0,3.0,103.0,0.48856452,0.30279368,0.20864178
1.0,1.0,40.0,243.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,40.0,244.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,40.0,245.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,40.0,246.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,40.0,247.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,40.0,248.0,Australia,103.0,3.0,103.0,0.46588174,0.3476116,0.18650667
1.0,1.0,41.0,249.0,Australia,104.0,3.0,104.0,0.46588174,0.3476116,0.18650667
1.0,1.0,41.0,250.0,Australia,105.0,3.0,105.0,0.46588174,0.3476116,0.18650667
1.0,1.0,41.0,251.0,Australia,105.0,3.0,105.0,0.46588174,0.3476116,0.18650667
1.0,1.0,41.0,252.0,Australia,105.0,3.0,105.0,0.46588174,0.3476116,0.18650667
1.0,1.0,41.0,253.0,Australia,105.0,3.0,105.0,0.46588174,0.3476116,0.18650667
